name,url,description,stars,forks,language,created_at,updated_at
peass-ng/PEASS-ng,https://github.com/peass-ng/PEASS-ng,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),19995,3365,C#,2019-01-13T19:58:24Z,2026-06-15T08:59:46Z
AveYo/MediaCreationTool.bat,https://github.com/AveYo/MediaCreationTool.bat,Universal MCT wrapper script for all Windows 10/11 versions from 1507 to 21H2!,10234,3132,Batchfile,2021-10-09T21:01:45Z,2026-06-15T10:53:30Z
ShadowWhisperer/Remove-MS-Edge,https://github.com/ShadowWhisperer/Remove-MS-Edge,Uninstall Microsoft Edge with an executable or batch script.,5203,196,Batchfile,2020-12-09T14:57:18Z,2026-06-15T04:35:52Z
batsh-dev-team/Batsh,https://github.com/batsh-dev-team/Batsh,A language that compiles to Bash and Windows Batch,4352,168,OCaml,2013-09-02T10:45:45Z,2026-06-04T12:08:25Z
YILS-LIN/short-video-factory,https://github.com/YILS-LIN/short-video-factory,"一键生成产品营销与泛内容短视频，AI批量自动剪辑，高颜值跨平台桌面端工具 One click generation of product marketing and general content short videos, AI batch automatic cliping, beautiful cross platform desktop tool",4085,605,TypeScript,2025-07-09T05:55:44Z,2026-06-15T11:12:05Z
ayoisaiah/f2,https://github.com/ayoisaiah/f2,F2 is a cross-platform command-line tool for batch renaming files and directories quickly and safely. Written in Go!,2417,64,Go,2020-04-28T00:20:46Z,2026-06-14T09:21:34Z
tsgrgo/windows-update-disabler,https://github.com/tsgrgo/windows-update-disabler,Disable/Enable Windows update with a lightweight batch tool.,2258,214,Batchfile,2022-01-24T14:53:05Z,2026-06-14T20:36:00Z
m-ab-s/media-autobuild_suite,https://github.com/m-ab-s/media-autobuild_suite,This Windows Batchscript helps setup a Mingw-w64 compiler environment for building ffmpeg and other media tools under Windows.,1797,295,Shell,2013-09-28T20:07:11Z,2026-06-15T08:21:08Z
abbodi1406/BatUtil,https://github.com/abbodi1406/BatUtil,Collection of batch scripts utilities for Windows,1421,284,VBScript,2018-11-15T05:41:47Z,2026-06-15T09:20:54Z
ios12checker/Windows-Maintenance-Tool,https://github.com/ios12checker/Windows-Maintenance-Tool,"A powerful, all-in-one Windows maintenance toolkit built entirely in Batch & PowerShell. Designed for power users, sysadmins, and curious tinkerers – now smarter, safer, and fully offline-compatible.",1324,78,PowerShell,2025-06-09T01:23:09Z,2026-06-15T00:04:24Z
npocmaka/batch.scripts,https://github.com/npocmaka/batch.scripts,batch script utils and examples by npocmaka -,1132,880,Batchfile,2014-04-18T17:53:07Z,2026-06-04T17:50:09Z
Aetherinox/pause-windows-updates,https://github.com/Aetherinox/pause-windows-updates,Pause & disable Windows updates for any duration. Remove Recall / Copilot. Debloat / privacy / telemetry tools. Supports Windows 10 and 11.,830,46,Batchfile,2023-08-31T14:26:26Z,2026-06-14T04:45:03Z
boxcutter/windows,https://github.com/boxcutter/windows,Virtual machine templates for Windows written in legacy JSON and Batch Scripting/JScript,770,263,Ruby,2015-02-13T03:29:15Z,2026-06-14T22:06:04Z
K3V1991/ADB-and-FastbootPlusPlus,https://github.com/K3V1991/ADB-and-FastbootPlusPlus,A small Application for Windows that allows you to install the latest Version of ADB and Fastboot Files on the Computer without installing the entire Android SDK Package + Toolkit & Commands,734,94,Batchfile,2022-05-24T10:06:00Z,2026-06-15T11:04:29Z
illsk1lls/ZipRipper,https://github.com/illsk1lls/ZipRipper,"A CMD script to crack password protected ZIP, RAR, 7z and PDF files, using JohnTheRipper.",730,104,Batchfile,2023-12-27T05:29:37Z,2026-06-15T06:54:38Z
HaveAGitGat/HBBatchBeast,https://github.com/HaveAGitGat/HBBatchBeast,"A free GUI application for HandBrake and FFmpeg/FFprobe with an emphasis on batch conversion (including recursive folder scans and folder watching) -Windows, macOS, Linux & Docker",705,57,HTML,2019-01-12T07:09:53Z,2026-06-12T16:40:16Z
enjoiz/Privesc,https://github.com/enjoiz/Privesc,Windows batch script that finds misconfiguration issues which can lead to privilege escalation.,683,103,PowerShell,2015-11-19T13:22:01Z,2026-06-13T09:51:42Z
semazurek/ET-Optimizer,https://github.com/semazurek/ET-Optimizer,"ET is a powerful application to improve performance, debloat, optimize and enhance privacy for Windows 10/11.",592,46,C#,2021-06-18T21:14:22Z,2026-06-12T09:52:00Z
slorelee/wimbuilder2,https://github.com/slorelee/wimbuilder2,wimbuilder with new UI & new syntax (hta+bat+vbs+js),580,117,Batchfile,2018-06-24T06:33:48Z,2026-06-14T05:26:36Z
diogo-fernan/ir-rescue,https://github.com/diogo-fernan/ir-rescue,A Windows Batch script and a Unix Bash script to comprehensively collect host forensic data during incident response.,489,91,Batchfile,2016-08-02T21:01:45Z,2026-06-07T12:23:53Z
TairikuOokami/Windows,https://github.com/TairikuOokami/Windows,Windows,485,95,Batchfile,2021-03-28T13:59:24Z,2026-06-11T08:32:12Z
rossy/mpv-install,https://github.com/rossy/mpv-install,Sets up file associations for mpv on Windows,468,47,Batchfile,2015-02-24T15:00:45Z,2026-06-15T04:48:40Z
davidmarble/virtualenvwrapper-win,https://github.com/davidmarble/virtualenvwrapper-win,Port of Doug Hellmann's virtualenvwrapper to Windows batch scripts,459,103,Batchfile,2011-01-10T20:08:13Z,2026-04-02T16:29:02Z
richhost/pixzip-lite,https://github.com/richhost/pixzip-lite,Easy to use batch image compression software. Powered by Svelte 5 🧡 Electron. 简单易用的批量图片压缩软件，使用 Svelte 5、Electron 构建。,428,20,Svelte,2022-12-31T06:35:58Z,2026-05-26T23:41:13Z
MajorGeek/MajorGeeks-Windows-Tweaks,https://github.com/MajorGeek/MajorGeeks-Windows-Tweaks,"MajorGeeks Windows Tweaks contains well over 200  registry, PowerShell, Visual Basic, and batch files to enable tweaks and hidden features in Windows 10, 8, and 7 for any skill level.",410,36,,2020-07-07T18:37:01Z,2026-06-09T19:33:29Z
vmavromatis/gnome-layout-manager,https://github.com/vmavromatis/gnome-layout-manager,"A bash script that batch installs and tweaks GNOME extensions as well as GTK/Shell themes. There are currently three options available: Unity, Windows and macOS.",401,39,Shell,2017-04-17T11:02:55Z,2026-06-01T11:30:38Z
TheBATeam/Batch-WI-FI-Brute-Forcer,https://github.com/TheBATeam/Batch-WI-FI-Brute-Forcer,"This project is based upon the trick that, how to hack WI-FI with CMD. The main purpose behind, creating wifi hacking tool with cmd tool is to make everyone aware that how easy it is to break a simple password. And, motivate them to keep some complex passwords – to keep them protected against it.",370,191,Batchfile,2020-05-16T09:15:23Z,2026-06-06T04:41:09Z
KingKDot/SomalifuscatorV2,https://github.com/KingKDot/SomalifuscatorV2,Most advanced and poorly coded windows batch obfuscator ever made (aka the best),357,46,Python,2022-09-23T00:46:51Z,2026-06-14T08:17:47Z
ph33nx/WinMasterBlocker,https://github.com/ph33nx/WinMasterBlocker,"Block Adobe, Autodesk, Corel and other apps from the internet on Windows. Single batch script, MIT, no third-party tools.",346,37,Batchfile,2024-10-24T23:08:26Z,2026-06-09T18:00:00Z
vogeljo/reset-vassistx,https://github.com/vogeljo/reset-vassistx,A small batch script for resetting Visual Assist X's trial period.,339,100,Batchfile,2016-11-15T20:08:47Z,2026-06-12T08:58:49Z
xxmichibxx/Batch-CIA-3DS-Decryptor-Redux,https://github.com/xxmichibxx/Batch-CIA-3DS-Decryptor-Redux,"Decrypting Nintendo 3DS games and applications (.3ds, .cia)",339,21,Batchfile,2023-11-28T21:43:39Z,2026-06-15T05:58:04Z
warengonzaga/wifi-passview,https://github.com/warengonzaga/wifi-passview,An open source batch script based WiFi Passview for Windows!,337,76,Batchfile,2018-02-05T21:00:56Z,2026-06-11T03:35:00Z
tytsxai/IDM-Activation-Script-Chinese,https://github.com/tytsxai/IDM-Activation-Script-Chinese,GPL-3.0 开源的 IDM Activation Script 中文版：Windows 批处理脚本，支持 IDM 试用期冻结、普通激活、重置和环境自检,337,22,Batchfile,2025-10-05T19:44:49Z,2026-06-15T11:02:35Z
kaic/win-post-install,https://github.com/kaic/win-post-install,A web-based tool that generates customized Windows post-installation batch scripts. Select from 100+ software applications and 80+ system configurations to create a personalized Windows setup script.,334,18,JavaScript,2025-12-01T20:43:03Z,2026-06-11T00:46:26Z
TheBobPony/MSEdgeTweaker,https://github.com/TheBobPony/MSEdgeTweaker,"Easily configure Microsoft Edge, the way you want it!",310,12,Batchfile,2024-06-14T17:04:37Z,2026-06-14T03:24:38Z
shenwei356/brename,https://github.com/shenwei356/brename,A practical cross-platform command-line tool for safely batch renaming files/directories via regular expression,298,21,Go,2013-09-06T07:48:12Z,2026-04-12T17:01:31Z
