category,created_at,description,forks,language,name,quality_score,stars,updated_at,url
Development & Scripting Tools,2019-01-13T19:58:24Z,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),3307,C#,peass-ng/PEASS-ng,0.619,18642,2025-11-04T04:47:39Z,https://github.com/peass-ng/PEASS-ng
Development & Scripting Tools,2020-12-09T14:57:18Z,Uninstall Microsoft Edge with an executable or batch script.,170,Batchfile,ShadowWhisperer/Remove-MS-Edge,0.838,4491,2025-11-03T20:52:42Z,https://github.com/ShadowWhisperer/Remove-MS-Edge
Development & Scripting Tools,2013-09-02T10:45:45Z,A language that compiles to Bash and Windows Batch,170,OCaml,batsh-dev-team/Batsh,0.637,4333,2025-10-29T01:57:07Z,https://github.com/batsh-dev-team/Batsh
File & Disk Utilities,2020-04-28T00:20:46Z,F2 is a cross-platform command-line tool for batch renaming files and directories quickly and safely. Written in Go!,60,Go,ayoisaiah/f2,0.637,2303,2025-11-01T22:10:54Z,https://github.com/ayoisaiah/f2
Network & Internet Tools,2025-07-09T05:55:44Z,"一键生成产品营销与泛内容短视频，AI批量自动剪辑，高颜值跨平台桌面端工具 One click generation of product marketing and general content short videos, AI batch automatic cliping, beautiful cross platform desktop tool",309,TypeScript,YILS-LIN/short-video-factory,0.637,2251,2025-11-04T07:58:04Z,https://github.com/YILS-LIN/short-video-factory
Uncategorized,2022-01-24T14:53:05Z,Disable/Enable Windows update with a lightweight batch tool.,189,Batchfile,tsgrgo/windows-update-disabler,0.856,1816,2025-11-04T00:46:33Z,https://github.com/tsgrgo/windows-update-disabler
Development & Scripting Tools,2013-09-28T20:07:11Z,This Windows Batchscript helps setup a Mingw-w64 compiler environment for building ffmpeg and other media tools under Windows.,280,Shell,m-ab-s/media-autobuild_suite,0.675,1705,2025-11-04T02:53:51Z,https://github.com/m-ab-s/media-autobuild_suite
Development & Scripting Tools,2018-11-15T05:41:47Z,Collection of batch scripts utilities for Windows,270,VBScript,abbodi1406/BatUtil,0.656,1275,2025-11-03T09:50:43Z,https://github.com/abbodi1406/BatUtil
System Information & Diagnostics,2025-06-09T01:23:09Z,"A powerful, all-in-one Windows maintenance toolkit built entirely in Batch & PowerShell. Designed for power users, sysadmins, and curious tinkerers – now smarter, safer, and fully offline-compatible.",58,PowerShell,ios12checker/Windows-Maintenance-Tool,0.675,954,2025-11-03T17:06:57Z,https://github.com/ios12checker/Windows-Maintenance-Tool
Development & Scripting Tools,2015-02-13T03:29:15Z,Virtual machine templates for Windows written in legacy JSON and Batch Scripting/JScript,265,Ruby,boxcutter/windows,0.542,761,2025-11-03T21:55:44Z,https://github.com/boxcutter/windows
Development & Scripting Tools,2023-12-27T05:29:37Z,"A CMD script to crack password protected ZIP, RAR, 7z and PDF files, using JohnTheRipper.",92,Batchfile,illsk1lls/ZipRipper,0.657,595,2025-11-03T06:57:46Z,https://github.com/illsk1lls/ZipRipper
Development & Scripting Tools,2018-06-24T06:33:48Z,wimbuilder with new UI & new syntax (hta+bat+vbs+js),114,Batchfile,slorelee/wimbuilder2,0.616,539,2025-11-02T17:29:45Z,https://github.com/slorelee/wimbuilder2
Network & Internet Tools,2020-05-16T09:15:23Z,"This project is based upon the trick that, how to hack WI-FI with CMD. The main purpose behind, creating wifi hacking tool with cmd tool is to make everyone aware that how easy it is to break a simple password. And, motivate them to keep some complex passwords – to keep them protected against it.",186,Batchfile,TheBATeam/Batch-WI-FI-Brute-Forcer,0.558,349,2025-11-02T15:09:39Z,https://github.com/TheBATeam/Batch-WI-FI-Brute-Forcer
Development & Scripting Tools,2016-11-15T20:08:47Z,A small batch script for resetting Visual Assist X's trial period.,101,Batchfile,vogeljo/reset-vassistx,0.57,332,2025-10-31T15:38:19Z,https://github.com/vogeljo/reset-vassistx
Uncategorized,2014-06-22T09:04:18Z,All projects batch,2,Batchfile,Kreijstal/BatchProjects,0.531,280,2025-10-19T20:34:00Z,https://github.com/Kreijstal/BatchProjects
Uncategorized,2015-08-17T08:40:34Z,Automatically exported from code.google.com/p/bat2exe,28,Batchfile,islamadel/bat2exe,0.511,278,2025-10-26T21:27:28Z,https://github.com/islamadel/bat2exe
Security & Privacy Tools,2024-10-24T23:08:26Z,Simple batch script that automates blocking apps from accessing internet using windows inbuilt firewall,31,Batchfile,ph33nx/WinMasterBlocker,0.563,266,2025-10-31T18:07:40Z,https://github.com/ph33nx/WinMasterBlocker
Uncategorized,2021-10-24T00:36:27Z,Manage your PlayStation 2/PSX DESR HDD,14,Batchfile,GDX-X/PFS-BatchKit-Manager,0.49,225,2025-11-02T12:36:34Z,https://github.com/GDX-X/PFS-BatchKit-Manager
Network & Internet Tools,2015-10-28T05:41:07Z,常用批处理,67,Batchfile,auspbro/batch-snippets,0.472,179,2025-09-23T02:58:41Z,https://github.com/auspbro/batch-snippets
