category,created_at,description,forks,language,name,quality_score,stars,updated_at,url
,,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting.",,,massgravel/Microsoft-Activation-Scripts,,140376,,https://github.com/massgravel/Microsoft-Activation-Scripts
Development & Scripting Tools,2019-01-13T19:58:24Z,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),3307,C#,peass-ng/PEASS-ng,0.619,18642,2025-11-04T04:47:39Z,https://github.com/peass-ng/PEASS-ng
Development & Scripting Tools,2019-01-13T19:58:24Z,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),3307,C#,peass-ng/PEASS-ng,0.619,18642,2025-11-04T04:47:39Z,https://github.com/peass-ng/PEASS-ng
Development & Scripting Tools,2019-01-13T19:58:24Z,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),3307,C#,peass-ng/PEASS-ng,0.619,18642,2025-11-04T04:47:39Z,https://github.com/peass-ng/PEASS-ng
,,IDM Activation & Trail Reset Script,,,lstprjct/IDM-Activation-Script,,13173,,https://github.com/lstprjct/IDM-Activation-Script
,,Universal MCT wrapper script for all Windows 10/11 versions from 1507 to 21H2!,,,AveYo/MediaCreationTool.bat,,9647,,https://github.com/AveYo/MediaCreationTool.bat
,,Universal MCT wrapper script for all Windows 10/11 versions from 1507 to 21H2!,,,AveYo/MediaCreationTool.bat,,9647,,https://github.com/AveYo/MediaCreationTool.bat
Development & Scripting Tools,2020-12-09T14:57:18Z,Uninstall Microsoft Edge with an executable or batch script.,170,Batchfile,ShadowWhisperer/Remove-MS-Edge,0.838,4491,2025-11-03T20:52:42Z,https://github.com/ShadowWhisperer/Remove-MS-Edge
Development & Scripting Tools,2020-12-09T14:57:18Z,Uninstall Microsoft Edge with an executable or batch script.,170,Batchfile,ShadowWhisperer/Remove-MS-Edge,0.838,4491,2025-11-03T20:52:42Z,https://github.com/ShadowWhisperer/Remove-MS-Edge
Development & Scripting Tools,2020-12-09T14:57:18Z,Uninstall Microsoft Edge with an executable or batch script.,170,Batchfile,ShadowWhisperer/Remove-MS-Edge,0.838,4491,2025-11-03T20:52:42Z,https://github.com/ShadowWhisperer/Remove-MS-Edge
Development & Scripting Tools,2013-09-02T10:45:45Z,A language that compiles to Bash and Windows Batch,170,OCaml,batsh-dev-team/Batsh,0.637,4333,2025-10-29T01:57:07Z,https://github.com/batsh-dev-team/Batsh
Development & Scripting Tools,2013-09-02T10:45:45Z,A language that compiles to Bash and Windows Batch,170,OCaml,batsh-dev-team/Batsh,0.637,4333,2025-10-29T01:57:07Z,https://github.com/batsh-dev-team/Batsh
Development & Scripting Tools,2013-09-02T10:45:45Z,A language that compiles to Bash and Windows Batch,170,OCaml,batsh-dev-team/Batsh,0.637,4333,2025-10-29T01:57:07Z,https://github.com/batsh-dev-team/Batsh
,,🔑KMS_VL_ALL - Smart Activation Script,,,kkkgo/KMS_VL_ALL,,3006,,https://github.com/kkkgo/KMS_VL_ALL
,,"🌎 Windows 11 Settings, Tweaks, Scripts",,,awesome-windows11/windows11,,2723,,https://github.com/awesome-windows11/windows11
File & Disk Utilities,2020-04-28T00:20:46Z,F2 is a cross-platform command-line tool for batch renaming files and directories quickly and safely. Written in Go!,60,Go,ayoisaiah/f2,0.637,2303,2025-11-01T22:10:54Z,https://github.com/ayoisaiah/f2
File & Disk Utilities,2020-04-28T00:20:46Z,F2 is a cross-platform command-line tool for batch renaming files and directories quickly and safely. Written in Go!,60,Go,ayoisaiah/f2,0.637,2303,2025-11-01T22:10:54Z,https://github.com/ayoisaiah/f2
File & Disk Utilities,2020-04-28T00:20:46Z,F2 is a cross-platform command-line tool for batch renaming files and directories quickly and safely. Written in Go!,60,Go,ayoisaiah/f2,0.637,2303,2025-11-01T22:10:54Z,https://github.com/ayoisaiah/f2
Network & Internet Tools,2025-07-09T05:55:44Z,"一键生成产品营销与泛内容短视频，AI批量自动剪辑，高颜值跨平台桌面端工具 One click generation of product marketing and general content short videos, AI batch automatic cliping, beautiful cross platform desktop tool",309,TypeScript,YILS-LIN/short-video-factory,0.637,2251,2025-11-04T07:58:04Z,https://github.com/YILS-LIN/short-video-factory
Network & Internet Tools,2025-07-09T05:55:44Z,"一键生成产品营销与泛内容短视频，AI批量自动剪辑，高颜值跨平台桌面端工具 One click generation of product marketing and general content short videos, AI batch automatic cliping, beautiful cross platform desktop tool",309,TypeScript,YILS-LIN/short-video-factory,0.637,2251,2025-11-04T07:58:04Z,https://github.com/YILS-LIN/short-video-factory
Network & Internet Tools,2025-07-09T05:55:44Z,"一键生成产品营销与泛内容短视频，AI批量自动剪辑，高颜值跨平台桌面端工具 One click generation of product marketing and general content short videos, AI batch automatic cliping, beautiful cross platform desktop tool",309,TypeScript,YILS-LIN/short-video-factory,0.637,2251,2025-11-04T07:58:04Z,https://github.com/YILS-LIN/short-video-factory
Uncategorized,2022-01-24T14:53:05Z,Disable/Enable Windows update with a lightweight batch tool.,189,Batchfile,tsgrgo/windows-update-disabler,0.856,1816,2025-11-04T00:46:33Z,https://github.com/tsgrgo/windows-update-disabler
Uncategorized,2022-01-24T14:53:05Z,Disable/Enable Windows update with a lightweight batch tool.,189,Batchfile,tsgrgo/windows-update-disabler,0.856,1816,2025-11-04T00:46:33Z,https://github.com/tsgrgo/windows-update-disabler
Uncategorized,2022-01-24T14:53:05Z,Disable/Enable Windows update with a lightweight batch tool.,189,Batchfile,tsgrgo/windows-update-disabler,0.856,1816,2025-11-04T00:46:33Z,https://github.com/tsgrgo/windows-update-disabler
